"source_1"	"source_2"	"source_3"	"source_4"	"source_5"	"rank_product"	"rank_final"
"230587"	NA	253	201.5	18	NA	32.3917767747187	167
"228790"	164	38.5	NA	NA	149	32.6619688741676	168
"67538"	NA	NA	107.5	148	61	33.0023918727936	169
"20358"	16	272.5	NA	NA	NA	33.0151480384384	170
"320587"	NA	NA	44	142	157	33.1201506114705	171
"101685"	117	70	NA	NA	121	33.2329200410794	172
"546118"	NA	NA	68	65	NA	33.2415402771893	173
"170719"	262	NA	NA	NA	17	33.3691474269272	174
"319415"	49	NA	NA	NA	91	33.3878720495931	175
"12684"	NA	NA	101.5	44	NA	33.4140688932072	176
"241694"	52	199	NA	NA	99	33.6028373769169	177
"54648"	NA	NA	215.5	NA	21	33.6359183017203	178
"67841"	NA	NA	NA	66	70	33.9852909359329	179
"70948"	NA	NA	107.5	38.5	257	34.0261530376383	180
"14394"	NA	20	NA	NA	233	34.132096331752	181
"18810"	109	93	NA	NA	111	34.6701898950395	182
"67425"	NA	172.5	28	NA	NA	34.7491007077881	183
"12889"	NA	NA	178	160.5	40	34.8495431119693	184
"21406"	NA	66	NA	NA	75	35.1781181986757	185
"109880"	118	42.5	NA	NA	NA	35.4083323527104	186
"67948"	61	161	NA	NA	124	35.5962742418317	187
"20504"	223	264.5	83	NA	84	35.6009828716009	188
"18577"	93	NA	NA	NA	56	36.0832371053374	189
"22589"	27	194	NA	NA	NA	36.1870142454445	190
"106585"	239	221	NA	NA	25	36.56976248873	191
"13626"	NA	154	68	NA	127	36.6569671313509	192
"434759"	NA	NA	20	NA	270	36.7423461417477	193
"72720"	NA	NA	52	163	159	36.8192357252421	194
"76686"	247	73	NA	75	NA	36.8614519265889	195
"13134"	173	31.5	NA	NA	NA	36.9103643980928	196
"384569"	50	110	NA	NA	NA	37.0809924354783	197
"233890"	NA	293	NA	19	NA	37.3061657102415	198
"100043188"	NA	NA	57	NA	102	38.1247950814165	199
"246103"	146	133.5	NA	NA	77	38.1639830390214	200
"79560"	225	76	NA	NA	90	38.485011312768	201
"56637"	25	237.5	NA	NA	NA	38.5275875185561	202
"68728"	75	77.5	NA	NA	267	38.5925510845395	203
"330355"	NA	NA	107.5	56.5	NA	38.9671335871655	204
"58800"	NA	NA	194	99.5	83	39.0043501287981	205
"19697"	185	NA	NA	NA	33	39.0672497112351	206
"67760"	172	304	NA	NA	31	39.1561502875808	207
"74637"	NA	NA	147	42	NA	39.2874025611264	208
"66306"	189	185	NA	NA	47	39.3359106485713	209
"51789"	70	88.5	NA	NA	NA	39.3541611522848	210
"66283"	NA	NA	73	162	142	39.6205790395234	211
"20362"	149	42.5	NA	NA	NA	39.7885033646655	212
"170638"	22	NA	NA	NA	290	39.9374510954317	213
"19726"	154	211	NA	53	NA	39.9550575480032	214
"16396"	158	266	NA	NA	42	40.2848189918477	215
"16553"	218	NA	NA	NA	30	40.4351332383115	216
"14465"	134	49	NA	NA	NA	40.5154291597658	217
"77945"	68	97	NA	NA	NA	40.6078810084939	218
"16518"	132	50	NA	NA	NA	40.6201920231798	219
"71947"	NA	282.5	NA	55	118	40.797460279729	220
"56469"	221	163.5	NA	51	NA	40.8669425730821	221
"242860"	261	93	NA	NA	76	40.8812746183663	222
"78913"	65	NA	NA	NA	103	40.9114898286533	223
"68473"	35	NA	NA	NA	192	40.9878030638384	224
"195236"	NA	190.5	86	115	NA	41.1695230597544	225
"74105"	33	206	NA	NA	NA	41.2249924196476	226
"71592"	38	179.5	NA	NA	NA	41.2946727799119	227
"68732"	NA	318	133	46	NA	41.612544841422	228
"213573"	NA	NA	81	121	200	41.7169171507476	229
"66220"	NA	NA	134	52	NA	41.7372735094184	230
"11982"	NA	NA	135	NA	52	41.8927201313068	231
"269424"	259	36	NA	NA	215	42.0299609853611	232
"13002"	103	295	NA	NA	66	42.0352018641812	233
"58234"	175	68	NA	170	NA	42.1577450265514	234
"79196"	214	111.5	NA	NA	85	42.1937314204628	235
"15937"	NA	NA	70	105	NA	42.8660704987056	236
"214162"	45	163.5	NA	NA	NA	42.8879353664874	237
"20668"	NA	NA	164.5	NA	45	43.0188911991	238
"54403"	140	NA	NA	NA	53	43.0697109347161	239
"225724"	163	262.5	217	NA	95	43.0839061797998	240
"232187"	183	41	NA	NA	NA	43.3099295774075	241
"12953"	54	139	NA	NA	NA	43.318587234581	242
"212733"	NA	NA	65	117	NA	43.6033255612459	243
"17079"	NA	NA	95	81	NA	43.8605745516403	244
"56278"	NA	NA	200	38.5	NA	43.8748219369606	245
"218756"	83	93	NA	NA	NA	43.9289198592453	246
"224997"	91	99.5	NA	NA	256	44.1143845579047	247
"17254"	NA	NA	50	157	NA	44.3001128666734	248
"14563"	NA	NA	96	83	NA	44.6318272088428	249
"252910"	NA	NA	29	NA	276	44.7325384926901	250
"107526"	NA	NA	38	NA	214	45.088801270382	251
"225876"	36	226.5	NA	NA	NA	45.1497508298772	252
"12340"	80	172.5	NA	NA	181	45.2270192292094	253
"72542"	NA	NA	90.5	153	182	45.3609921083233	254
"11973"	NA	NA	86	96	NA	45.4312667664022	255
"67048"	233	85	NA	NA	128	45.4506763934608	256
"55981"	104	NA	NA	80	NA	45.6070170039655	257
"76889"	NA	228	94	120	NA	45.6695494891588	258
"74747"	260	121	NA	NA	82	45.7161450687731	259
"15413"	102	285	190	NA	203	45.7471113605902	260
"67866"	NA	NA	46	183	NA	45.8748296999564	261
"107568"	79	111.5	NA	NA	NA	46.926804706905	262
"18408"	89	257	NA	NA	122	46.9288305805629	263
"236900"	NA	234.5	104.5	114	NA	46.9461600338862	264
"15364"	55	161	NA	NA	NA	47.0505047794389	265
"106326"	257	116	NA	NA	96	47.3259703330202	266
"228061"	231	48	NA	NA	259	47.3801472088301	267
"100043057"	NA	NA	59.5	NA	151	47.3933012144121	268
"18738"	85	106	NA	NA	NA	47.4605099003371	269
"20495"	NA	NA	164.5	135	130	47.4634991977336	270
"378702"	NA	NA	61	NA	148	47.5078940808788	271
"192157"	94	201.5	NA	NA	153	47.5236939346511	272
"69674"	NA	NA	155.5	85	221	47.6496018592674	273
"330323"	NA	NA	92	99.5	NA	47.83826919946	274
"71908"	NA	NA	55.5	165	NA	47.8474137232097	275
"11807"	NA	NA	84	111.5	NA	48.3890483477408	276
"268859"	51	NA	NA	NA	184	48.4355241532493	277
"57246"	NA	NA	201.5	150	107	49.2941566660462	278
"20431"	NA	150.5	170.5	127	NA	49.4197199489438	279
"17686"	NA	NA	NA	50	198	49.749371855331	280
"218811"	129	150.5	NA	174	NA	50.0154174677673	281
"76787"	277	45	NA	NA	275	50.2597592765129	282
"245522"	NA	NA	59.5	NA	171	50.4343632853633	283
"216877"	NA	NA	75	NA	139	51.0514446416553	284
"12181"	NA	NA	114.5	111.5	283	51.1486695775076	285
"60322"	NA	NA	121	87	NA	51.3005847919885	286
"140559"	NA	289.5	NA	73	173	51.3512779039763	287
"207393"	192	122	NA	NA	158	51.5606195756779	288
"252875"	230	208.5	NA	134	294	52.12085300219	289
"382109"	NA	NA	170.5	64	NA	52.2302594288024	290
"269639"	NA	NA	97.5	146	271	52.2782449605725	291
"23806"	152	237.5	NA	NA	109	52.6247418669065	292
"239420"	159	222.5	NA	NA	112	52.746518475087	293
"66308"	NA	NA	41	NA	274	52.9952828089444	294
"69757"	57	198	NA	NA	NA	53.1177936288773	295
"20807"	207	214	NA	NA	92	53.2438429797286	296
"16675"	NA	214	53	NA	NA	53.2494131423061	297
"67958"	98	201.5	NA	NA	207	53.2969760890147	298
"193670"	NA	NA	180.5	NA	63	53.3186177615287	299
"26415"	NA	NA	146	78	NA	53.3572862878164	300
"207182"	NA	166	NA	119	209	53.4743922159291	301
"217721"	NA	NA	65	NA	177	53.6306815172062	302
"20393"	131	88.5	NA	NA	NA	53.8365582109406	303
"13800"	156	74.5	NA	NA	NA	53.9026900998457	304
"216856"	58	204	NA	NA	NA	54.3874985635486	305
"170729"	114	104	NA	NA	NA	54.4426303552648	306
"11933"	NA	NA	154	77	NA	54.4472221513642	307
"68255"	NA	NA	126.5	94	NA	54.5229309556997	308
"66586"	NA	146	NA	82	NA	54.7083174663597	309
"216848"	270	161	NA	NA	104	55.1171058534639	310
"14537"	NA	319.5	208.5	NA	68	55.1536201120431	311
"71994"	272	105	NA	NA	160	55.314391671514	312
"67815"	NA	NA	157	NA	78	55.3308232362397	313
"94220"	66	190.5	NA	NA	NA	56.0646947730923	314
"66867"	NA	NA	158	NA	81	56.5641229048944	315
"320265"	96	133.5	NA	NA	NA	56.6038867923396	316
"170833"	NA	NA	126.5	102	NA	56.7956864559273	317
"225929"	222	102	NA	NA	220	56.9294980051555	318
